tool,timeout,benchmark,run_number,cut,tests,uncompilable,broken,failing,lines_total,lines_covered,lines_coverage_ratio,branches_total,branches_covered,branches_coverage_ratio,mutants_total,mutants_covered,mutants_coverage_ratio,mutants_killed,mutants_killed_ratio
evosuite-mo,30,FASTJSON-49,3,com.alibaba.fastjson.serializer.ArraySerializer,6,0,0,0,28,6,21.428572,14,1,7.1428576,13,0,0.0,0,0.0
evosuite-mo,30,FASTJSON-39,1,com.alibaba.fastjson.serializer.StringCodec,23,0,0,0,45,21,46.666668,20,9,45.0,29,14,48.27586,14,48.27586
evosuite-mo,30,FASTJSON-17,1,com.alibaba.fastjson.serializer.ClobSeriliazer,4,0,0,0,24,5,20.833332,4,2,50.0,6,2,33.333336,2,33.333336
evosuite-mo,30,SEATA-25,1,io.seata.core.rpc.netty.NettyPoolableFactory,28,0,1,0,60,39,65.0,36,20,55.555557,11,0,0.0,0,0.0
evosuite-mo,30,FASTJSON-25,3,com.alibaba.fastjson.parser.deserializer.ResolveFieldDeserializer,26,0,0,0,43,37,86.04651,12,7,58.333332,4,0,0.0,0,0.0
evosuite-mo,30,GUAVA-85,2,com.google.common.base.CaseFormat,37,0,12,0,30,30,100.0,12,12,100.0,15,15,100.0,15,100.0
evosuite-mo,30,GUAVA-71,3,com.google.common.collect.SparseImmutableTable,1,0,0,0,63,22,34.920635,14,5,35.714287,16,7,43.75,7,43.75
evosuite-mo,30,FASTJSON-59,3,com.alibaba.fastjson.asm.Type,120,0,0,0,93,0,0.0,62,0,0.0,78,0,0.0,0,0.0
evosuite-mo,30,FASTJSON-25,2,com.alibaba.fastjson.parser.deserializer.ResolveFieldDeserializer,23,0,0,0,43,37,86.04651,12,7,58.333332,4,0,0.0,0,0.0
evosuite-mo,30,SPOON-163,1,spoon.pattern.internal.node.MapEntryNode,32,0,0,0,38,30,78.94737,20,12,60.000004,6,0,0.0,0,0.0
evosuite-mo,30,SPOON-11,3,spoon.reflect.factory.TypeFactory,98,1,0,0,217,0,0.0,70,0,0.0,121,0,0.0,0,0.0
evosuite-mo,30,FASTJSON-17,3,com.alibaba.fastjson.serializer.ClobSeriliazer,5,0,0,0,24,5,20.833332,4,2,50.0,6,2,33.333336,2,33.333336
evosuite-mo,30,SPOON-155,3,spoon.support.compiler.jdt.JDTSnippetCompiler,33,0,4,0,25,25,100.0,8,7,87.5,0,0,0.0,0,0.0
evosuite-mo,30,SEATA-26,3,io.seata.core.rpc.netty.TmRpcClient,1,0,0,0,162,1,0.61728394,62,0,0.0,64,0,0.0,0,0.0
evosuite-mo,30,SPOON-151,1,spoon.support.compiler.jdt.JDTBatchCompiler,29,0,3,0,76,24,31.578945,40,12,30.000002,39,14,35.897438,14,35.897438
evosuite-mo,30,FASTJSON-105,2,com.alibaba.fastjson.JSONReader,118,0,3,0,157,143,91.0828,63,50,79.36508,75,67,89.33333,67,89.33333
